Dates,value,,,,,,
08-11-2021," 1,621.74 ",,,,,,
09-11-2021," 1,667.90 ",,,,,,
10-11-2021," 1,712.53 ",,,,,,
11-11-2021," 1,755.43 ",,,,,,
12-11-2021," 1,796.41 ",,,,,,
13-11-2021," 1,835.31 ",,,,,,
14-11-2021," 1,871.95 ",,,,,,
15-11-2021," 1,906.15 ",,,,,,
16-11-2021," 1,937.77 ",,,,,,
17-11-2021," 1,966.66 ",,,,,,
18-11-2021," 1,992.68 ",,,,,,
19-11-2021," 2,015.72 ",,,,,,
20-11-2021," 2,035.65 ",,,,,,
21-11-2021," 2,052.39 ",,,,,,
22-11-2021," 2,065.86 ",,,,,,
23-11-2021," 2,075.98 ",,,,,,
